COASTAL_ID,TAMBON,DISTRICT,PROVINCE,PROVINCE_S,TYP_NAME_T,TYP_NAME_E,AREA_sqm
30,เกาะมุกด์,กันตัง,ตรัง,ตรัง,ที่ราบน้ำขึ้นถึง,Intertidal flat,216873.53
31,เกาะมุกด์,กันตัง,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",6542631.39
32,ป่าบอน,ป่าบอน,พัทลุง,พัทลุง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",14364545.4
33,ม่วงงาม,สิงหนคร,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึงเดิม,Old tidal flat,13090753.14
34,ม่วงงาม,สิงหนคร,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,2065102.74
35,ม่วงงาม,สิงหนคร,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,4331541.12
36,ม่วงงาม,สิงหนคร,สงขลา,สงขลา,หาดทรายปัจจุบัน,Young sandy beach,1673634.29
37,ม่วงงาม,สิงหนคร,สงขลา,สงขลา,หาดทรายปัจจุบัน,Young sandy beach,217740.62
38,ม่วงงาม,สิงหนคร,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,12379.68
39,นาเกลือ,กันตัง,ตรัง,ตรัง,ที่ราบใต้ระดับน้ำลง,Subtidal flat,1867917.33
40,นาเกลือ,กันตัง,ตรัง,ตรัง,ที่ราบน้ำขึ้นถึง,Intertidal flat,22547631.72
41,นาเกลือ,กันตัง,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",21098038.85
42,บางเขียด,สิงหนคร,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึงเดิม,Old tidal flat,16563785.17
43,บางเขียด,สิงหนคร,สงขลา,สงขลา,ลากูนปัจจุบัน,Young lagoon,2682290.27
44,ท่าพญา,ปะเหลียน,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",14848611.78
45,บางด้วน,ปะเหลียน,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",26759572.75
46,บ้านนา,ปะเหลียน,ตรัง,ตรัง,หาดทรายเดิม,Old sandy beach,240935.36
47,บ้านนา,ปะเหลียน,ตรัง,ตรัง,ที่ราบน้ำขึ้นถึง,Intertidal flat,11456755.38
48,บ้านนา,ปะเหลียน,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",87653106.36
49,ปากพะยูน,ปากพะยูน,พัทลุง,พัทลุง,ลากูนปัจจุบัน,Young lagoon,12070.78
50,ปากพะยูน,ปากพะยูน,พัทลุง,พัทลุง,ลากูนปัจจุบัน,Young lagoon,310997.3
51,ปากพะยูน,ปากพะยูน,พัทลุง,พัทลุง,ลากูนปัจจุบัน,Young lagoon,1926138.62
52,ปากพะยูน,ปากพะยูน,พัทลุง,พัทลุง,ลากูนปัจจุบัน,Young lagoon,6590954.72
53,ปากพะยูน,ปากพะยูน,พัทลุง,พัทลุง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",21197542.28
54,วังใหม่,ป่าบอน,พัทลุง,พัทลุง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",43293521.19
55,แหลมสอม,ปะเหลียน,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",7595093.92
56,เกาะกระดาน,กันตัง,ตรัง,ตรัง,ที่ราบใต้ระดับน้ำลง,Subtidal flat,86375.95
57,เกาะกระดาน,กันตัง,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",1392511.17
58,รำแดง,สิงหนคร,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึงเดิม,Old tidal flat,12639066.7
59,ชะแล้,สิงหนคร,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึงเดิม,Old tidal flat,5851193.52
60,ชะแล้,สิงหนคร,สงขลา,สงขลา,ลากูนปัจจุบัน,Young lagoon,4379130.1
61,วัดขนุน,สิงหนคร,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึงเดิม,Old tidal flat,5000268.39
62,วัดขนุน,สิงหนคร,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,1045184.06
63,วัดขนุน,สิงหนคร,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,477721.5
64,วัดขนุน,สิงหนคร,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึงเดิม,Old tidal flat,132552.99
65,วัดขนุน,สิงหนคร,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึงเดิม,Old tidal flat,276837.21
66,วัดขนุน,สิงหนคร,สงขลา,สงขลา,หาดทรายปัจจุบัน,Young sandy beach,1178336.98
67,วัดขนุน,สิงหนคร,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,3714021.9
68,หารเทา,ปากพะยูน,พัทลุง,พัทลุง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",43596436.64
69,บ้าหวี,หาดสำราญ,ตรัง,ตรัง,ที่ราบใต้ระดับน้ำลง,Subtidal flat,683118.92
70,บ้าหวี,หาดสำราญ,ตรัง,ตรัง,ที่ราบน้ำขึ้นถึง,Intertidal flat,18226085.64
71,บ้าหวี,หาดสำราญ,ตรัง,ตรัง,ที่ราบใต้ระดับน้ำลง,Supratidal flat,1103412.66
72,บ้าหวี,หาดสำราญ,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",29079658.83
73,ดอนประดู่,ปากพะยูน,พัทลุง,พัทลุง,ลากูนปัจจุบัน,Young lagoon,1176707.14
74,ดอนประดู่,ปากพะยูน,พัทลุง,พัทลุง,ลากูนปัจจุบัน,Young lagoon,19304.42
75,ดอนประดู่,ปากพะยูน,พัทลุง,พัทลุง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",40374463.16
76,ห้วยลึก,ควนเนียง,สงขลา,สงขลา,ลากูนปัจจุบัน,Young lagoon,10526614.28
77,ห้วยลึก,ควนเนียง,สงขลา,สงขลา,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",19387578.81
78,เกามะราหน,กันตัง,ตรัง,ตรัง,ที่ราบใต้ระดับน้ำลง,Subtidal flat,4596.02
79,เกามะราหน,กันตัง,ตรัง,ตรัง,ที่ราบน้ำขึ้นถึง,Intertidal flat,82785.98
80,ปากรอ,สิงหนคร,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึงเดิม,Old tidal flat,5779333.64
81,ปากรอ,สิงหนคร,สงขลา,สงขลา,ลากูนปัจจุบัน,Young lagoon,10189066.81
82,เกาะเจ้าไหม,กันตัง,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",10105.26
83,ชิงโค,สิงหนคร,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึงเดิม,Old tidal flat,8650.16
84,ชิงโค,สิงหนคร,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึงเดิม,Old tidal flat,156961.36
85,ชิงโค,สิงหนคร,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,2643194.32
86,ชิงโค,สิงหนคร,สงขลา,สงขลา,หาดทรายปัจจุบัน,Young sandy beach,1081669.71
87,ชิงโค,สิงหนคร,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึงเดิม,Old tidal flat,2243591.72
88,ชิงโค,สิงหนคร,สงขลา,สงขลา,หาดทรายปัจจุบัน,Young sandy beach,2913163.1
89,ชิงโค,สิงหนคร,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,9502772.86
90,ชิงโค,สิงหนคร,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,416717.44
91,หาดสำราญ,หาดสำราญ,ตรัง,ตรัง,ที่ราบใต้ระดับน้ำลง,Subtidal flat,2401458.62
92,หาดสำราญ,หาดสำราญ,ตรัง,ตรัง,หาดทรายปัจจุบัน,Young sandy beach,8456049.53
93,หาดสำราญ,หาดสำราญ,ตรัง,ตรัง,หาดทรายเดิม,Old sandy beach,7539158.35
94,หาดสำราญ,หาดสำราญ,ตรัง,ตรัง,ที่ราบน้ำขึ้นถึง,Intertidal flat,13476364.86
95,หาดสำราญ,หาดสำราญ,ตรัง,ตรัง,ที่ราบใต้ระดับน้ำลง,Supratidal flat,606356.71
96,หาดสำราญ,หาดสำราญ,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",19867306.91
97,เกาะลูกไม้,กันตัง,ตรัง,ตรัง,ที่ราบใต้ระดับน้ำลง,Subtidal flat,10007.19
98,เกาะลูกไม้,กันตัง,ตรัง,ตรัง,ที่ราบน้ำขึ้นถึง,Intertidal flat,31985.07
99,สุโสะ,ปะเหลียน,ตรัง,ตรัง,ที่ราบน้ำขึ้นถึง,Intertidal flat,33380834.32
100,สุโสะ,ปะเหลียน,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",57409710.79
101,ป่าขาด,สิงหนคร,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึงเดิม,Old tidal flat,10757828.22
102,ป่าขาด,สิงหนคร,สงขลา,สงขลา,ลากูนปัจจุบัน,Young lagoon,2933546.37
103,โคกทราย,ป่าบอน,พัทลุง,พัทลุง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",36736149.78
104,ทำนบ,สิงหนคร,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึงเดิม,Old tidal flat,14742.29
105,ทำนบ,สิงหนคร,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึงเดิม,Old tidal flat,16519.85
106,ทำนบ,สิงหนคร,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึงเดิม,Old tidal flat,5783299.22
107,ทำนบ,สิงหนคร,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,1412570.91
108,ทำนบ,สิงหนคร,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึงเดิม,Old tidal flat,2748812.86
109,ทำนบ,สิงหนคร,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,79377.34
110,ทำนบ,สิงหนคร,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,138665.99
111,ทำนบ,สิงหนคร,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,197431.71
112,เกาลิบง,กันตัง,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",19104429.66
113,เกาลิบง,กันตัง,ตรัง,ตรัง,ที่ราบใต้ระดับน้ำลง,Subtidal flat,94207
114,เกาลิบง,กันตัง,ตรัง,ตรัง,หาดทรายปัจจุบัน,Young sandy beach,196297.61
115,เกาลิบง,กันตัง,ตรัง,ตรัง,หาดทรายเดิม,Old sandy beach,516241.26
116,เกาลิบง,กันตัง,ตรัง,ตรัง,ที่ราบน้ำขึ้นถึง,Intertidal flat,7244536.37
117,เกาลิบง,กันตัง,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",4872020.15
118,ทุ่งยาว,ปะเหลียน,ตรัง,ตรัง,ที่ราบใต้ระดับน้ำลง,Subtidal flat,116345.52
119,ทุ่งยาว,ปะเหลียน,ตรัง,ตรัง,ที่ราบน้ำขึ้นถึง,Intertidal flat,18028486.51
120,ทุ่งยาว,ปะเหลียน,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",23853962.83
121,เกาะนก,กันตัง,ตรัง,ตรัง,ที่ราบใต้ระดับน้ำลง,Subtidal flat,18100.36
122,ควนโส,ควนเนียง,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,225007.24
123,ควนโส,ควนเนียง,สงขลา,สงขลา,ลากูนปัจจุบัน,Young lagoon,865.18
124,ควนโส,ควนเนียง,สงขลา,สงขลา,ลากูนปัจจุบัน,Young lagoon,16199951.21
125,ควนโส,ควนเนียง,สงขลา,สงขลา,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",14908637.09
126,ดอนทราย,ปากพะยูน,พัทลุง,พัทลุง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",12584695.84
127,หัวเขา,สิงหนคร,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึง,Intertidal flat,460758.02
128,หัวเขา,สิงหนคร,สงขลา,สงขลา,หาดทรายปัจจุบัน,Young sandy beach,45858.24
129,หัวเขา,สิงหนคร,สงขลา,สงขลา,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",26511.65
130,หัวเขา,สิงหนคร,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึง,Intertidal flat,759536.08
131,หัวเขา,สิงหนคร,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,650495.85
132,หัวเขา,สิงหนคร,สงขลา,สงขลา,หาดทรายปัจจุบัน,Young sandy beach,2087407.46
133,หัวเขา,สิงหนคร,สงขลา,สงขลา,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",4500267.41
134,สทิงหม้อ,สิงหนคร,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึงเดิม,Old tidal flat,729477.91
135,สทิงหม้อ,สิงหนคร,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึง,Intertidal flat,438862.64
136,สทิงหม้อ,สิงหนคร,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึง,Intertidal flat,620143.97
137,สทิงหม้อ,สิงหนคร,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,12589397.69
138,สทิงหม้อ,สิงหนคร,สงขลา,สงขลา,หาดทรายปัจจุบัน,Young sandy beach,949802.26
139,สทิงหม้อ,สิงหนคร,สงขลา,สงขลา,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",1624856.7
140,ลิพัง,ปะเหลียน,ตรัง,ตรัง,ที่ราบน้ำขึ้นถึง,Intertidal flat,23884411.15
141,ลิพัง,ปะเหลียน,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",18738695.7
142,บ่อยาง,เมืองสงขลา,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึง,Intertidal flat,1039570.03
143,บ่อยาง,เมืองสงขลา,สงขลา,สงขลา,หาดทรายปัจจุบัน,Young sandy beach,1347123.46
144,บ่อยาง,เมืองสงขลา,สงขลา,สงขลา,พื้นที่แปรสภาพ,Disturbed area,7217829.5
145,บ่อยาง,เมืองสงขลา,สงขลา,สงขลา,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",33629.25
146,ควนรู,รัตภูมิ,สงขลา,สงขลา,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",33856174.69
147,ตะเสะ,หาดสำราญ,ตรัง,ตรัง,ที่ราบใต้ระดับน้ำลง,Subtidal flat,853261.1
148,ตะเสะ,หาดสำราญ,ตรัง,ตรัง,หาดทรายปัจจุบัน,Young sandy beach,3132168.86
149,ตะเสะ,หาดสำราญ,ตรัง,ตรัง,หาดทรายเดิม,Old sandy beach,6008255.49
150,ตะเสะ,หาดสำราญ,ตรัง,ตรัง,ที่ราบน้ำขึ้นถึง,Intertidal flat,27585926
151,ตะเสะ,หาดสำราญ,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",8803115.93
152,รัตภูมิ,ควนเนียง,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,534032.06
153,รัตภูมิ,ควนเนียง,สงขลา,สงขลา,ลากูนปัจจุบัน,Young lagoon,6826947.52
154,รัตภูมิ,ควนเนียง,สงขลา,สงขลา,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",50413342.01
155,ท่าข้าม,ปะเหลียน,ตรัง,ตรัง,ที่ราบใต้ระดับน้ำลง,Subtidal flat,604586.79
156,ท่าข้าม,ปะเหลียน,ตรัง,ตรัง,หาดทรายเดิม,Old sandy beach,142646.98
157,ท่าข้าม,ปะเหลียน,ตรัง,ตรัง,ที่ราบน้ำขึ้นถึง,Intertidal flat,29828335.78
158,ท่าข้าม,ปะเหลียน,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",19372595.24
159,คูหาใต้,รัตภูมิ,สงขลา,สงขลา,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",35851421.47
160,ทุ่งหว้า,ทุ่งหว้า,สตูล,สตูล,หาดทรายปัจจุบัน,Young sandy beach,961091.08
161,ทุ่งหว้า,ทุ่งหว้า,สตูล,สตูล,ที่ราบน้ำขึ้นถึง,Intertidal flat,10001509.05
162,ทุ่งหว้า,ทุ่งหว้า,สตูล,สตูล,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",18105214.83
163,ท่าชะมวง,รัตภูมิ,สงขลา,สงขลา,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",473181.96
164,เกาะยอ,เมืองสงขลา,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึง,Intertidal flat,271405.54
165,เกาะยอ,เมืองสงขลา,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึง,Intertidal flat,92799.09
166,เกาะยอ,เมืองสงขลา,สงขลา,สงขลา,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",280673.71
167,บางเหรียง,ควนเนียง,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึง,Intertidal flat,1757648.49
168,บางเหรียง,ควนเนียง,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึง,Intertidal flat,5180190.7
169,บางเหรียง,ควนเนียง,สงขลา,สงขลา,ลากูนปัจจุบัน,Young lagoon,4562217.69
170,บางเหรียง,ควนเนียง,สงขลา,สงขลา,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",64154736.24
171,บางกล่ำ,บางกลำ่,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึง,Intertidal flat,2441.43
172,บางกล่ำ,บางกลำ่,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึง,Intertidal flat,6594718.66
173,บางกล่ำ,บางกลำ่,สงขลา,สงขลา,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",11541552.89
174,คูเต่า,หาดให่ญ,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึง,Intertidal flat,160577.84
175,คูเต่า,หาดให่ญ,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึง,Intertidal flat,30512266.44
176,คูเต่า,หาดให่ญ,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึง,Intertidal flat,1027.93
177,คูเต่า,หาดให่ญ,สงขลา,สงขลา,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",1130957.66
178,เขารูปช้าง,เมืองสงขลา,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึง,Intertidal flat,7228576.72
179,เขารูปช้าง,เมืองสงขลา,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,423424.67
180,เขารูปช้าง,เมืองสงขลา,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,2669976.81
181,เขารูปช้าง,เมืองสงขลา,สงขลา,สงขลา,หาดทรายปัจจุบัน,Young sandy beach,477024.83
182,เขารูปช้าง,เมืองสงขลา,สงขลา,สงขลา,หาดทรายปัจจุบัน,Young sandy beach,3911.46
183,เขารูปช้าง,เมืองสงขลา,สงขลา,สงขลา,พื้นที่แปรสภาพ,Disturbed area,49803.4
184,เขารูปช้าง,เมืองสงขลา,สงขลา,สงขลา,ลากูนเดิม,Old lagoon,2897494.35
185,เขารูปช้าง,เมืองสงขลา,สงขลา,สงขลา,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",15145219.27
186,เกาะยอ,เมืองสงขลา,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึง,Intertidal flat,937777.33
187,เกาะยอ,เมืองสงขลา,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึง,Intertidal flat,404228.79
188,เกาะยอ,เมืองสงขลา,สงขลา,สงขลา,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",4194902.18
189,พะวง,เมืองสงขลา,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึง,Intertidal flat,67138.73
190,พะวง,เมืองสงขลา,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึง,Intertidal flat,11611562.57
191,พะวง,เมืองสงขลา,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,28345.01
192,พะวง,เมืองสงขลา,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,303920.18
193,พะวง,เมืองสงขลา,สงขลา,สงขลา,ลากูนเดิม,Old lagoon,1577141.31
194,พะวง,เมืองสงขลา,สงขลา,สงขลา,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",37842083.82
195,น้ำน้อย,หาดให่ญ,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึง,Intertidal flat,16864129.65
196,น้ำน้อย,หาดให่ญ,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึง,Intertidal flat,3615.93
197,น้ำน้อย,หาดให่ญ,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,492858.95
198,น้ำน้อย,หาดให่ญ,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,1972735.33
199,น้ำน้อย,หาดให่ญ,สงขลา,สงขลา,ลากูนเดิม,Old lagoon,745091.82
200,น้ำน้อย,หาดให่ญ,สงขลา,สงขลา,ลากูนเดิม,Old lagoon,7307447.48
201,น้ำน้อย,หาดให่ญ,สงขลา,สงขลา,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",19737949.17
202,เกาะค้างคาว,ปะเหลียน,ตรัง,ตรัง,ที่ราบน้ำขึ้นถึง,Intertidal flat,181622.15
203,กำแพงเพชร,รัตภูมิ,สงขลา,สงขลา,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",109800000
204,เกาะแต้ว,เมืองสงขลา,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,234823.24
205,เกาะแต้ว,เมืองสงขลา,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,835755.8
206,เกาะแต้ว,เมืองสงขลา,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,3981113.9
207,เกาะแต้ว,เมืองสงขลา,สงขลา,สงขลา,หาดทรายปัจจุบัน,Young sandy beach,628725.43
208,เกาะแต้ว,เมืองสงขลา,สงขลา,สงขลา,ลากูนเดิม,Old lagoon,8440598.44
209,เกาะแต้ว,เมืองสงขลา,สงขลา,สงขลา,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",18155203.22
210,เกาะจำปีใหญ่,หาดสำราญ,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",34860.01
211,แม่ทอม,บางกลำ่,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึง,Intertidal flat,12238.84
212,แม่ทอม,บางกลำ่,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึง,Intertidal flat,6733815.47
213,แม่ทอม,บางกลำ่,สงขลา,สงขลา,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",5698416.78
214,เกาะสุกร,ปะเหลียน,ตรัง,ตรัง,หาดทรายปัจจุบัน,Young sandy beach,2812270.8
215,เกาะสุกร,ปะเหลียน,ตรัง,ตรัง,ที่ราบน้ำขึ้นถึง,Intertidal flat,1218544.78
216,เกาะสุกร,ปะเหลียน,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",7636851.24
217,นาทอน,ทุ่งหว้า,สตูล,สตูล,หาดทรายปัจจุบัน,Young sandy beach,1034248.15
218,นาทอน,ทุ่งหว้า,สตูล,สตูล,ที่ราบน้ำขึ้นถึง,Intertidal flat,23889589.33
219,นาทอน,ทุ่งหว้า,สตูล,สตูล,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",73779484.79
220,ควนกาหลง,ควนกาหลง,สตูล,สตูล,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",32625164.75
